,Name,Brand,Pack Size,Water Source,Falvor,Container,Price,100% Natural,Anti-Oxidant,Artesian,BPA Free Plastic,Caffeinated,Carbonated,Electrolytes,Energy Drinks,Enhanced,Ethically Sourced,Fair Trade,Flavored,Gluten FREE,Green Tea,Kosher,Low Calorie,Mineral Water,No Artifical Flavors,No Artifical Preservatives,No Artifical Sweetners,Non-Alcoholic Wine,Non GMO,Non-Sparkling Water,Nutritional,Organic,Organic Cane Sugar,Preservatice Free,Purified Water,Regular Soda,Sodium-Free,Soy FREE,Sparkling Juice,Sparkling Water,Spring Water,Sweetened,Tea,Twist off Top,USDA Organic,Under 100 Calories,30 Calories,Variety Pack,Vegan,Zero Carb,Zero Calorie,Zero Sodium,Zero Calories,Zero Sugar,Zero Sweeteners,Beverage Size,Flavor,No Artificial Preservatives,Preservative FREE,No Artificial Flavors,No Artificial Sweeteners
0,Vichy Catalan - Sparkling Mineral Water - 250 ml (12 Glass Bottles),Vichy Catalan,12,Spring Water,,Glass,48.84,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.45,None,,,,
0,Vichy Catalan - Sparkling Water - 250 ml (24 Glass Bottles),Vichy Catalan,24,Spring Water,,Glass,59.95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.45,None,,,,
0,Vichy Catalan - Sparkling Water - 250 ml (24 Glass Bottles),Vichy Catalan,24,Spring Water,,Glass,59.95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.45,None,,,,
0,Mondariz - Natural Still Mineral Water - 330 mL (24 Glass Bottles),Mondariz,24,Spring Water,,Glass,53.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.15,None,,,,
0,Mondariz - Natural Still Mineral Water - 330 mL (24 Glass Bottles),Mondariz,24,Spring Water,,Glass,53.35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.15,None,,,,
0,Mondariz - Natural Sparkling Mineral Water - 330 mL (24 Glass Bottles),Mondariz,24,Spring Water,,Glass,53.35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.15,None,,,,
0,Mondariz - Natural Sparkling Mineral Water - 330 mL (24 Glass Bottles),Mondariz,24,Spring Water,,Glass,53.35,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.15,None,,,,
0,Mondariz - Natural Still Mineral Water - 750 ml (12 Glass Bottles),Mondariz,12,Spring Water,,Glass,42.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.4,None,,,,
0,Mondariz - Natural Still Mineral Water - 750 ml (12 Glass Bottles),Mondariz,12,Spring Water,,Glass,42.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.4,None,,,,
0,Mondariz - Natural Sparkling Mineral Water - 750 ml (12 Glass Bottles),Mondariz,12,Spring Water,,Glass,42.24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.4,None,,,,
0,Mondariz - Natural Sparkling Mineral Water - 750 ml (12 Glass Bottles),Mondariz,12,Spring Water,,Glass,42.24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25.4,None,,,,
0,Font D'Or - Classic - Mineral Still Water - 1 L (12 Glass Bottles),Font D'Or,12,Spring Water,,Glass,51.15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.8,None,,,,
0,Font D'Or - Classic - Mineral Still Water - 1 L (12 Glass Bottles),Font D'Or,12,Spring Water,,Glass,51.15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.8,None,,,,
0,Font D'Or - Maximum - Mineral Still Water - 1 L (12 Glass Bottles),Font D'Or,12,Spring Water,,Glass,51.15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.8,None,,,,
0,Font D'Or - Maximum - Mineral Still Water - 1 L (12 Glass Bottles),Font D'Or,12,Spring Water,,Glass,51.15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.8,None,,,,
0,LaCroix - Curate - Kiwi Sandia - 12 oz (24 Cans),LaCroix,24,Purified Water,,Can,27.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,12.0,"Kiwi, Watermelon",,,,
0,LaCroix - Curate - Kiwi Sandia - 12 oz (24 Cans),LaCroix,24,Purified Water,,Can,27.72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,12.0,"Kiwi, Watermelon",,,,
0,Smeraldina - Still - 500 ml (24 Paper Cartons),Smeraldina,24,Artesian Water,,Carton,48.84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.9,None,,,,
0,Smeraldina - Still - 500 ml (24 Paper Cartons),Smeraldina,24,Artesian Water,,Carton,48.84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.9,None,,,,
0,Poland Spring 16 oz Substitution - Crystal Geyser 16 oz,Crystal Geyser,35,Spring Water,,Plastic,23.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.9,None,,,,
